#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-09-20T11:15:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57e1190354ae	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-sort=_r
#-nav=cat:I/337&tab:{I/337/tgas}&key:source=I/337/tgas&HTTPPRM:&
#-c=19 16 22.1 -16 15 00.0
#-c.eq=J2000
#-c.r=  120
#-c.u=arcmin
#-c.geom=r
#-source=I/337/tgas
#-order=I
#-out.orig=standard
#-out=HIP
#-out=TYC2
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#
#INFO	-c=289.092083-16.250000,rm=120.	
#

#RESOURCE=yCat_1337
#Name: I/337
#Title: Gaia DR1 (Gaia Collaboration, 2016)
#Coosys	J2000_2015.000:	eq_FK5 J2000
#Table	I_337_tgas:
#Name: I/337/tgas
#Title: TGAS: Subset of GaiaSource comprising those stars in the Hipparcos and Tycho-2 Catalogues for which a full
#5-parameter astrometric solution has been possible in Gaia Data Release
#(TgasSource) ({\bf Download } Tgas Sources as vo tables, fits or csv
#\W{xplain}{http://1016243957.rsc.cdn77.org/Gaia/tgas_source/}{here})
# (\originalcolumnnames)
#Column	_r	(F8.4)	Distance from center (289.0920833333-16.2500000000)[FK5/J2000], at Epoch=J2015.0	[ucd=pos.angDistance]
#Column	HIP	(I6)	? Hipparcos identifier (\original{hip}) [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	TYC2	(A12)	Tycho 2 identifier (\original{tycho2_id})	[ucd=meta.id.cross]
#Column	RA_ICRS	(F14.10)	Right ascension (ICRS) at epoch 2015.0 (\original{ra})	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F14.10)	Declination (ICRS) at epoch 2015.0 (\original{dec})	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F6.2)	Absolute barycentric stellar parallax of the source at the reference epoch Epoch (\original{parallax})	[ucd=pos.parallax]
#Column	e_Plx	(F5.2)	Standard error of parallax (\original{parallax_error})	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	Proper motion in right ascension direction (\original{pmRA}) (G5)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Standard error of proper motion in right ascension direction (\original{pmra_error})	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Proper motion in declination direction (\original{pmdec}) (G6)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Standard error of proper motion in declination direction (\original{pmdec_error})	[ucd=stat.error;pos.pm;pos.eq.dec]
_r;HIP;TYC2;RA_ICRS;DE_ICRS;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE
 40.2456;      ;6296-2009-1 ;289.7773833911;-16.1204883420;  1.85; 0.36;   -0.267; 3.633;   -4.962; 3.290
 40.4766;      ;6296-67-1   ;288.7433348702;-16.8359475183;  3.84; 0.93;   -4.033; 1.765;  -29.744; 1.437
 40.8103;      ;6296-1644-1 ;289.7536393569;-16.4944427506;  1.70; 0.50;   -3.853; 3.878;   -7.316; 3.560
 40.9422;      ;6296-605-1  ;288.4339597051;-15.9932922817;  4.63; 0.47;   60.686; 0.435;  -29.141; 0.561
 41.1395;      ;6296-486-1  ;288.5244634789;-15.8346185812;  1.89; 0.34;    0.796; 2.816;  -13.051; 2.517
 41.4552;      ;6300-951-1  ;289.3393062983;-16.8990182929;  0.96; 0.43;   -0.107; 8.219;   -1.040; 7.235
 41.5009;      ;6296-192-1  ;288.4336239227;-16.5317466775;  1.26; 0.32;    1.368; 3.764;   -5.717; 3.054
 41.5549;      ;6296-1857-1 ;289.3405115041;-15.5999235027;  3.39; 0.30;   -2.401; 2.976;  -35.044; 2.592
 41.5575;      ;6296-1082-1 ;289.3898460549;-15.6193246904;  1.68; 0.78;    4.013; 1.352;   -1.937; 1.897
 41.7248;      ;6296-232-1  ;288.6743853657;-15.6822589981;  0.85; 0.45;   14.763; 3.430;    2.843; 3.067
 41.8387;      ;6296-739-1  ;288.4849711292;-15.8680773002;  0.89; 0.28;   -5.135; 2.391;   -8.165; 2.198
 41.8426;      ;6296-47-1   ;288.6573622241;-16.8091511396;  0.89; 0.30;    4.693; 2.799;  -15.040; 2.582
 42.0002;      ;6296-63-1   ;288.7532244836;-16.8700880329;  1.82; 0.49;    8.288; 2.956;    4.852; 2.798
 42.0219;      ;6296-413-1  ;288.3891697424;-16.0637665115;  3.80; 0.45;   -9.735; 3.680;  -42.795; 3.721
 42.2388;      ;6296-658-1  ;288.3895673670;-16.0493928768;  1.88; 0.39;    5.498; 3.984;    2.389; 3.707
 42.8011;      ;6296-40-1   ;288.7266177789;-16.8714155800; -0.16; 0.32;   11.313; 2.894;    7.189; 2.650
 42.8208;      ;6296-1196-1 ;289.3595439395;-15.5842776378;  1.11; 0.36;   -0.931; 5.423;   -5.311; 4.696
 42.8849;      ;6300-358-1  ;289.3800185026;-16.9093249952;  4.39; 0.43;    2.896; 1.168;  -12.871; 1.130
 42.9097;      ;6296-736-1  ;288.4968160799;-16.6807907333;  3.55; 0.26;    5.745; 0.434;  -11.679; 0.479
 42.9334;      ;6300-1319-1 ;289.1020270429;-16.9654940118;  1.07; 0.24;   -3.904; 3.339;    5.522; 3.234
 43.0177;      ;6296-1057-1 ;289.4844790380;-15.6403423480;  0.97; 0.30;    9.650; 5.179;   -2.618; 4.449
 43.1261;      ;6300-759-1  ;289.4156000838;-16.8984469664;  0.63; 0.33;    8.981; 4.714;   11.134; 4.136
 43.3156;      ;6296-1333-1 ;289.5216736064;-15.6579069937;  2.12; 0.29;    0.705; 4.642;  -10.747; 3.995
 43.5801;      ;6296-410-1  ;288.7527835047;-15.6010725586;  1.54; 0.85;    3.398; 4.979;    2.994; 4.094
 43.6777;      ;6296-749-1  ;288.4088747832;-16.5668644936;  1.19; 0.34;  -13.806; 3.623;   -6.744; 2.966
 43.7688;      ;6296-1213-1 ;288.7017913407;-15.6244596321;  2.79; 0.46;   -7.117; 3.916;  -25.795; 3.564
 43.7750;      ;6296-926-1  ;289.6889387849;-16.7024516073;  1.72; 0.32;    4.617; 3.047;    1.774; 2.458
 43.9437;      ;6296-65-1   ;288.5562694639;-16.7720119983;  0.23; 0.39;   -0.083; 2.868;   -1.865; 2.748
 43.9672;      ;6296-298-1  ;288.3546844924;-16.0620644428;  3.54; 0.45;    1.753; 3.486;   -6.550; 3.562
 44.1069;      ;6296-1671-1 ;289.2531343940;-15.5313888730;  1.51; 0.28;   -4.718; 3.275;  -10.409; 2.842
 44.1627;      ;6296-1174-1 ;289.6021900451;-15.7011216651;  1.71; 0.32;    7.786; 3.791;    4.517; 3.345
 44.2860;      ;6296-1133-1 ;289.4917446771;-15.6198382826;  0.83; 0.31;   -3.040; 2.781;   -3.133; 2.487
 44.4395;      ;6296-207-1  ;288.3797426722;-15.9667852155; -0.79; 0.81;    1.473; 4.383;   -3.537; 2.099
 44.5641;      ;6300-194-1  ;288.8594845314;-16.9584995195;  0.34; 0.32;  -10.748; 4.071;  -14.903; 3.668
 44.5744;      ;6296-807-1  ;289.7381741027;-15.8421122224;  1.21; 0.40;   -7.575; 4.972;  -21.082; 4.283
 44.6565;      ;6296-1023-1 ;288.6363526005;-15.6483869423;  1.85; 0.58;   -0.842; 3.537;   -7.719; 3.248
 44.8211;      ;6296-630-1  ;288.3142238644;-16.2702036470;  3.43; 0.24;   -1.020; 2.345;  -27.788; 2.215
 44.8526;      ;6300-1001-1 ;288.6970766327;-16.8945832097;  1.65; 0.47;    0.072; 2.377;   -2.584; 2.233
 44.8555;      ;6300-1679-1 ;289.3857075593;-16.9426127053;  1.44; 0.32;  -24.883; 4.871;  -30.056; 4.287
 44.9950;      ;6296-843-1  ;289.4822255300;-15.6006728735;  0.33; 0.39;   -6.562; 3.789;    1.473; 3.765
 45.0257;      ;6296-1009-1 ;289.6118268026;-15.6901238656;  1.56; 0.34;   10.820; 3.315;   -2.628; 2.931
 45.5468; 94839;            ;289.4616438660;-16.9214234368;  1.07; 0.47;    1.626; 0.052;   -7.897; 0.037
 45.8344;      ;6296-825-1  ;289.4870433726;-15.5872056672;  1.47; 0.33;   -0.588; 2.632;   -3.639; 2.085
 45.8926;      ;6296-1185-1 ;289.0814889988;-15.4851918738;  2.44; 0.87;    6.109; 1.207;   -1.462; 1.969
 46.0536;      ;6296-575-1  ;288.3416541953;-16.5160972262;  2.39; 0.38;   -5.036; 2.655;  -12.355; 2.473
 46.0645;      ;6296-607-1  ;288.3357103571;-16.5006005172;  2.84; 0.29;   -4.560; 3.302;   -5.147; 3.011
 46.1608;      ;6300-679-1  ;288.9118066369;-16.9997030470;  3.53; 0.43;  -16.136; 4.055;   -4.076; 3.764
 46.2844;      ;6296-499-1  ;288.3740060131;-15.9050608927;  3.92; 0.41;  -13.985; 3.156;  -45.380; 3.237
 46.4783;      ;6296-203-1  ;288.5473325103;-15.6792425956;  1.12; 0.42;   -2.069; 3.030;   -4.090; 2.760
 46.7497;      ;6300-15-1   ;288.6310790772;-16.8917604682;  1.68; 0.67;   -5.027; 3.567;   -9.415; 3.337
 47.1304;      ;6296-191-1  ;288.4759344543;-15.7340541905;  1.86; 0.25;    4.557; 1.504;  -10.539; 1.370
 47.1984;      ;6300-697-1  ;288.8599311527;-17.0045336139;  4.61; 0.32;   -3.940; 1.221;  -26.667; 1.208
 47.2167;      ;6296-540-1  ;288.3009052738;-16.4572359958;  0.52; 0.40;    2.579; 3.673;   -1.720; 3.415
 47.4174;      ;6296-417-1  ;288.3879594685;-15.8417739564;  2.37; 0.27;    3.687; 2.597;   -5.714; 2.438
 47.4913;      ;6296-811-1  ;289.7732397031;-15.8051358634;  0.75; 0.29;   -0.312; 2.671;   -6.004; 2.375
 47.6080;      ;6296-386-1  ;288.2742579052;-16.1369855885;  2.41; 0.35;   -7.265; 3.391;   -6.565; 3.024
 47.8661;      ;6296-1362-1 ;289.2972369978;-15.4770237311;  0.33; 0.28;    5.985; 3.443;    2.083; 3.096
 47.9844;      ;6296-297-1  ;288.4020645363;-15.8030627431;  3.70; 0.27;    1.377; 1.626;  -30.150; 1.490
 48.0022;      ;6300-1570-1 ;289.2209156087;-17.0404574772;  1.27; 0.25;    9.741; 3.321;    1.295; 3.232
 48.2862;      ;6296-638-1  ;288.3616417244;-15.8564121118;  1.78; 0.31;    8.156; 2.778;   -6.147; 2.580
 48.3392;      ;6300-783-1  ;289.5387065362;-16.9325488288;  0.99; 0.27;   -7.220; 3.456;   -8.630; 3.180
 48.3825;      ;6296-400-1  ;288.3839654393;-15.8174881257;  0.57; 0.81;    1.454; 3.963;   -5.085; 2.304
 48.3878;      ;6296-962-1  ;289.8292815988;-15.8646387504;  0.54; 0.79;    3.600; 3.545;    2.899; 3.188
 48.7107;      ;6296-542-1  ;288.2479194960;-16.2994525955;  0.63; 0.30;   -2.319; 2.956;   -2.751; 2.691
 48.7401;      ;6296-1118-1 ;289.3896054742;-15.4897430041;  1.96; 0.35;    0.561; 3.281;  -16.713; 2.894
 48.8895;      ;6296-884-1  ;289.8136057156;-16.6803127011;  8.68; 0.31;   16.517; 1.094;  -73.371; 1.018
 48.9566;      ;6296-117-1  ;288.5179088419;-16.8523658130;  0.25; 0.39;   -1.985; 3.159;   -1.076; 2.924
 49.2721;      ;6300-1450-1 ;289.5227912026;-16.9599399159;  0.95; 0.28;   -1.106; 5.151;   -6.218; 4.518
 49.2827;      ;6296-1353-1 ;289.0950986189;-15.4286268521;  1.15; 0.28;    3.956; 3.692;   -1.985; 3.214
 49.5054;      ;6296-481-1  ;288.4289869749;-15.7261312345;  2.65; 0.37;  -19.668; 2.884;   30.820; 2.589
 49.6538;      ;6296-537-1  ;288.2554943462;-16.4511142151;  1.48; 0.41;    3.754; 3.294;    0.147; 3.000
 49.8818;      ;6296-265-1  ;288.6490290619;-15.5361425214;  0.85; 0.43;   -7.577; 4.265;  -11.481; 3.851
 49.9758;      ;6296-32-1   ;289.7215618644;-16.8241404177;  1.12; 0.35;    3.743; 1.646;   -6.856; 1.633
 50.0564;      ;6296-1547-1 ;288.8556620082;-15.4473251844;  2.58; 0.62;   -8.081; 4.898;   -9.518; 4.541
 50.1130;      ;6296-170-1  ;288.6007878324;-15.5612711942;  1.60; 0.33;    9.150; 1.450;   -0.160; 1.287
 50.1879;      ;6296-1458-1 ;289.4699686261;-15.4966341864;  3.86; 0.37;   33.109; 3.525;  -54.215; 3.100
 50.2206;      ;6300-510-1  ;289.6714536471;-16.8762570816;  1.65; 0.52;    0.626; 3.829;   -8.761; 3.544
 50.2322;      ;6300-237-1  ;289.1468703454;-17.0855571950;  2.68; 0.55;    0.391; 1.911;  -27.157; 2.574
 50.7484;      ;6296-474-1  ;288.2532961362;-15.9929486742;  1.48; 0.37;   -7.718; 5.061;   -8.329; 5.062
 50.9253;      ;6296-68-1   ;288.4507427322;-16.8351637532;  3.35; 0.84;   -1.138; 0.642;  -26.424; 0.595
 51.1469;      ;6296-875-1  ;289.1595823289;-15.4000286661;  2.42; 0.64;    4.721; 4.606;   -1.910; 4.056
 51.2358;      ;6296-500-1  ;288.7781227094;-15.4512635687;  0.78; 0.25;    1.836; 2.564;   -0.672; 2.371
 51.4025;      ;6296-401-1  ;288.3199311623;-15.8219438812;  1.93; 0.56;    8.347; 3.670;  -10.234; 3.479
 51.4591;      ;6296-289-1  ;288.2602898421;-16.5644686958; -0.39; 0.40;    6.862; 3.328;    2.746; 3.080
 51.4850;      ;6296-1758-1 ;289.9647588011;-16.0663505878;  3.12; 0.27;   -2.693; 2.068;  -28.301; 1.802
 51.4852;      ;6296-1868-1 ;289.8359016281;-15.7755000433;  8.95; 0.31;  -85.057; 3.991;  -95.015; 3.129
 51.8713;      ;6296-1799-1 ;289.3050239464;-15.4101020996;  5.24; 0.31;   40.700; 2.986;  -31.876; 2.643
 52.1234;      ;6296-758-1  ;288.2014215242;-16.0984782348;  1.64; 0.38;    8.329; 4.297;    1.218; 3.811
 52.2618;      ;6296-954-1  ;289.3398692551;-15.4122254338;  1.07; 0.34;   -3.161; 2.397;   -0.873; 2.138
 52.6378;      ;6300-1463-1 ;289.3548378934;-17.0904123943;  0.96; 0.38;    3.089; 3.933;   -4.662; 3.970
 52.6924;      ;6300-770-1  ;289.7087386791;-16.8995625335;  1.30; 0.33;    1.454; 1.398;   -8.451; 1.314
 52.8866;      ;6296-656-1  ;288.1762993125;-16.1890588076;  2.24; 0.30;   -5.008; 3.743;  -18.970; 3.393
 52.9415;      ;6296-1462-1 ;289.8682771351;-15.7788952450;  1.14; 0.29;    6.410; 2.790;   -3.898; 2.446
 53.0389;      ;6296-618-1  ;288.2669816319;-15.8592267413;  1.35; 0.35;   -4.368; 4.080;  -15.524; 3.785
 53.0507;      ;6300-473-1  ;289.5759265172;-17.0028860526;  2.81; 0.36;    0.325; 0.653;  -10.163; 0.655
 53.3172;      ;6300-1169-1 ;288.9775959349;-17.1318271135;  0.80; 0.29;    3.673; 3.804;   -1.207; 3.141
 53.3369;      ;6300-1606-1 ;289.2267416349;-17.1295407217;  1.43; 0.75;    0.339; 2.692;   -7.029; 2.666
 53.3460;      ;6300-977-1  ;288.9963562348;-17.1343591578;  3.32; 0.31;   -4.230; 3.186;  -29.014; 2.927
 53.3955;      ;6297-947-1  ;290.0130237892;-16.1507236377;  1.37; 0.37;    3.000; 6.243;    2.756; 5.397
 53.4434;      ;6296-487-1  ;288.2613057968;-15.8550656620;  2.36; 0.47;   -0.161; 5.210;  -11.950; 4.246
 53.4536;      ;6296-597-1  ;288.3228994212;-15.7529971212;  0.47; 0.27;   -0.857; 2.899;    2.883; 2.627
 53.5332;      ;6300-2242-1 ;289.2721769209;-17.1253840594;  1.89; 0.36;   -5.214; 0.961;   -6.106; 1.045
 53.6105;      ;6296-957-1  ;289.1385595888;-15.3576112177;  1.69; 0.41;   -1.321; 2.069;  -10.886; 2.148
 53.7174;      ;6296-1323-1 ;289.5155086967;-15.4527325137;  1.23; 0.42;   -5.492; 3.720;   -9.494; 3.298
 53.7803;      ;6296-378-1  ;288.7391382032;-15.4204642903;  1.14; 0.72;    9.782; 4.112;    3.458; 3.752
 53.9654;      ;6300-825-1  ;289.6013361019;-17.0055553389;  1.29; 0.24;  -18.085; 4.892;  -10.206; 4.292
 54.0068;      ;6296-927-1  ;289.9809347868;-15.9654582847;  2.89; 0.42;   -2.018; 2.214;   -8.542; 2.238
 54.1166;      ;6296-329-1  ;288.8037418548;-15.3917790202;  0.57; 0.26;    7.056; 3.228;   -0.348; 2.985
 54.2322;      ;6296-440-1  ;288.4921777627;-15.5542137389;  1.38; 0.33;    5.868; 2.533;   -9.678; 2.304
 54.5512;      ;6296-146-1  ;288.1728989651;-16.0331464018;  2.49; 0.41;   -8.595; 6.887;  -14.130; 6.092
 54.7159;      ;6300-634-1  ;289.3615307157;-17.1246464044;  2.67; 0.48;  -50.300; 5.273;  -44.814; 5.333
 54.7268;      ;6300-525-1  ;288.4910162392;-16.9572301605;  0.59; 0.28;   -1.060; 2.426;  -11.781; 2.240
 54.8208;      ;6296-876-1  ;289.9320672246;-16.6811917801;  1.68; 0.34;   -3.787; 2.807;   -5.356; 2.546
 54.8589;      ;6296-893-1  ;289.1689317959;-15.3386808714;  0.97; 0.30;    1.009; 2.875;    0.557; 2.605
 55.0812;      ;6300-209-1  ;289.1008194500;-17.1679815881;  0.75; 0.44;    4.372; 2.935;    0.447; 2.767
 55.2491;      ;6296-727-1  ;288.1485055436;-16.4172927608;  3.32; 0.32;    6.514; 2.885;   -9.630; 2.652
 55.2664;      ;6296-471-1  ;288.2895974139;-15.7466348942;  3.83; 0.25;   -7.537; 2.506;  -22.315; 2.259
 55.2901;      ;6296-1271-1 ;289.0194745066;-15.3311503987;  0.75; 0.30;    8.597; 4.966;    2.431; 4.308
 55.4696;      ;6296-465-1  ;288.6376545269;-15.4353984202;  0.80; 0.58;    1.764; 3.955;   -5.891; 3.585
 55.6782;      ;6296-526-1  ;288.7771590022;-15.3728938923;  0.59; 0.30;    0.022; 3.022;   -7.975; 2.817
 55.6825;      ;6300-130-1  ;288.8694473360;-17.1532103711; -0.20; 0.41;    4.814; 4.418;   -2.072; 3.617
 55.6898;      ;6297-1025-1 ;290.0306629346;-16.4746563719;  0.58; 0.41;    7.865; 5.208;   -1.605; 5.165
 55.7684;      ;6296-989-1  ;289.0331012138;-15.3222618452;  0.72; 0.31;    3.290; 5.342;   -7.946; 4.631
 55.8498;      ;6296-470-1  ;288.3440247363;-15.6591204171;  4.37; 0.24;    1.630; 2.421;  -76.435; 2.241
 56.0779;      ;6300-183-1  ;288.9117980102;-17.1685424818; -0.08; 0.57;   -2.452; 4.228;   -5.925; 3.897
 56.1559;      ;6296-529-1  ;288.5554540347;-15.4692894459;  2.03; 0.32;    5.132; 1.506;   -1.386; 1.382
 56.2211;      ;6296-530-1  ;288.7370034135;-15.3774812649;  0.57; 0.32;   -3.709; 3.756;   -4.019; 3.481
 56.2358;      ;6296-462-1  ;288.1429901703;-16.0324977924;  3.66; 0.33;    3.933; 2.005;   -0.561; 1.799
 56.3037;      ;6300-1784-1 ;288.9067656498;-17.1714563422;  0.16; 0.37;   -1.518; 3.285;   -4.715; 3.079
 56.4658;      ;6296-752-1  ;288.2188112232;-16.6793303865;  4.66; 0.25;   18.401; 2.272;  -20.459; 2.098
 56.6716;      ;6300-973-1  ;289.6794917933;-17.0085164421;  2.69; 0.28;    6.694; 1.129;    2.713; 1.060
 56.8508;      ;6296-83-1   ;289.9053904528;-16.7883286845;  0.25; 0.44;    0.391; 3.281;   -3.726; 2.997
 56.9582;      ;6296-711-1  ;288.4265487797;-15.5489372495;  2.36; 0.85;    2.930; 0.851;   -8.538; 1.238
 57.0523;      ;6296-592-1  ;288.6769631582;-15.3870734910;  1.84; 0.23;    3.801; 2.319;    4.250; 2.896
 57.1531;      ;6296-2022-1 ;289.6204319654;-15.4443797899;  1.52; 0.25;    1.577; 1.726;   -7.376; 1.572
 57.2229;      ;6296-706-1  ;288.2186848480;-16.7062102675;  4.54; 0.26;   19.839; 2.113;  -16.773; 1.981
 57.6090;      ;6297-1029-1 ;290.0841654574;-16.3737091268;  1.82; 0.36;    6.437; 0.981;   -6.274; 0.987
 57.6384;      ;6297-1317-1 ;290.0925320681;-16.2346200083;  0.97; 0.35;    2.198; 4.348;    2.150; 3.769
 57.7522;      ;6296-1423-1 ;289.9647656705;-15.7779103217;  3.21; 0.25;    2.124; 1.872;  -26.002; 1.695
 57.7695;      ;6296-395-1  ;288.6974017554;-15.3652288062;  3.10; 0.25;  -10.305; 6.597;  -40.952; 5.727
 57.7797;      ;6296-10-1   ;288.2986797926;-16.8407000714;  1.51; 0.69;   12.194; 3.598;   13.867; 3.320
 57.7983;      ;6300-94-1   ;289.3011610402;-17.1922643644;  2.02; 0.75;    0.945; 6.079;  -19.445; 5.755
 57.8538;      ;6300-1929-1 ;289.5516427870;-17.1078736564;  0.97; 0.38;    0.489; 3.433;   -1.065; 3.034
 57.9507;      ;6300-403-1  ;288.7171063171;-17.1465834099;  1.93; 0.29;   -0.840; 2.307;    3.666; 2.067
 58.0243;      ;6296-515-1  ;288.3334195895;-15.6151492067;  1.70; 0.58;    2.625; 3.734;   -8.593; 3.364
 58.0468;      ;6296-168-1  ;288.5765138044;-15.4193760831;  2.92; 0.29;  -37.032; 2.964;  -19.824; 2.697
 58.0709;      ;6300-571-1  ;289.1201180017;-17.2174761145;  0.16; 0.49;   10.187; 4.696;   -1.562; 4.775
 58.1735;      ;6296-728-1  ;288.1698094856;-16.6470615305;  3.27; 0.30;   12.172; 2.547;  -18.775; 2.332
 58.2046;      ;6296-710-1  ;288.0872761064;-16.3547260937;  0.67; 0.27;   -1.571; 2.372;   -3.030; 2.175
 58.2161;      ;6296-1183-1 ;289.1632198556;-15.2821498496;  2.96; 0.29;    8.778; 2.600;    5.160; 2.279
 58.2698;      ;6296-1527-1 ;289.3203965205;-15.3040163989;  1.07; 0.50;    1.386; 4.883;   -3.987; 3.832
 58.2811;      ;6300-257-1  ;289.1530398878;-17.2195968214;  3.31; 0.53;    0.780; 4.938;  -24.607; 4.548
 58.5506;      ;6296-432-1  ;288.7189724514;-15.3425982188;  0.99; 0.47;    0.253; 4.223;   -4.226; 3.896
 58.5987;      ;6300-50-1   ;289.0135436245;-17.2237454868;  6.13; 0.24;   -1.820; 1.347;   -9.119; 1.329
 58.7713;      ;6297-280-1  ;290.0668991755;-16.5413991330;  0.76; 0.48;    4.855; 5.660;    2.361; 5.618
 58.8872;      ;6296-1073-1 ;289.9745454270;-15.7563344007; -0.34; 0.40;    7.119; 2.811;    2.411; 2.548
 59.0852;      ;6296-291-1  ;288.0673425721;-16.2958365588;  0.81; 0.85;    0.092; 0.696;   -7.480; 0.840
 59.1803;      ;6297-1154-1 ;290.1145813319;-16.1563324558;  2.26; 0.63;   16.969; 3.243;   -5.005; 2.868
 59.2117;      ;6300-1079-1 ;289.5934475473;-17.1121177981;  1.37; 0.47;    1.724; 3.098;    0.904; 2.753
 59.2974;      ;6296-982-1  ;289.0751841859;-15.2618431685;  0.58; 0.23;    3.591; 2.788;    2.892; 2.499
 59.5257;      ;6300-1073-1 ;289.2119142966;-17.2354357350;  1.32; 0.36;    1.645; 3.034;   -4.376; 2.835
 59.8810;      ;6296-573-1  ;288.0577514860;-16.3524020270;  2.06; 0.31;    1.037; 2.710;   -9.865; 2.488
 60.1057;      ;6296-363-1  ;288.7527110547;-15.3029684690;  0.40; 0.32;   -1.409; 3.256;   -2.603; 2.998
 60.1112;      ;6296-368-1  ;288.1225614648;-16.6228248533;  2.02; 0.38;   -4.109; 3.707;   -6.904; 3.720
 60.1390;      ;6296-613-1  ;288.5617995620;-15.3872493001;  2.59; 0.29;   -3.025; 2.540;   -2.688; 2.304
 60.2024;      ;6296-534-1  ;288.1047690993;-16.5814010480;  7.85; 0.29;  -95.401; 3.840;   14.721; 3.389
 60.2111;      ;6297-1311-1 ;290.0498194300;-16.6541917948;  0.31; 0.31;    0.137; 3.769;    6.882; 3.487
 60.2378;      ;6296-1595-1 ;289.1791988268;-15.2495437461;  1.26; 0.27;  -13.859; 7.602;  -13.237; 6.498
 60.2478;      ;6296-650-1  ;288.4937595406;-15.4272249417; -0.17; 0.28;    4.432; 2.574;    1.725; 2.410
 60.2666;      ;6297-276-1  ;290.1314283505;-16.1373630626;  1.98; 0.92;    0.802; 0.978;  -11.785; 0.982
 60.4515;      ;6300-893-1  ;288.5250976744;-17.0985915795;  1.87; 0.38;   -2.182; 2.427;   -5.278; 2.309
 60.5218;      ;6296-177-1  ;288.1828867535;-15.7463858655;  0.46; 0.29;    4.609; 4.070;    0.698; 3.571
 60.5224;      ;6296-1246-1 ;289.2253534816;-15.2494817378;  1.60; 0.41;    7.554; 3.593;    5.176; 3.276
 60.5532;      ;6296-682-1  ;288.2462427416;-15.6524025646;  0.86; 0.50;   -5.889; 2.386;  -13.002; 2.211
 60.5870;      ;6296-176-1  ;288.2990781522;-15.5880912829;  1.51; 0.54;   -1.999; 3.061;   -8.634; 2.766
 60.6140;      ;6300-233-1  ;289.8475582364;-16.9545797254;  1.09; 0.50;    0.237; 0.744;   -5.784; 0.739
 60.6542;      ;6296-678-1  ;288.3730449539;-15.5126853949;  1.63; 0.57;    2.268; 3.800;   -6.255; 3.463
 60.6617;      ;6296-277-1  ;288.7047124383;-15.3101996616;  5.12; 0.24;   -3.626; 1.995;  -40.001; 2.003
 60.7420;      ;6297-1319-1 ;290.1346884132;-16.1009257726;  3.44; 0.32;   35.727; 7.306;   -3.973; 6.310
 60.7438;      ;6300-1871-1 ;289.9197138312;-16.8790136244;  3.11; 0.31;   -1.526; 2.220;  -15.135; 2.120
 60.7526;      ;6296-1707-1 ;289.2113143558;-15.2439807058;  1.33; 0.24;    2.460; 4.293;   -1.915; 3.679
 60.8691;      ;6296-158-1  ;288.2991292489;-15.5809010917;  0.40; 0.30;   -1.199; 2.623;   -1.793; 2.399
 60.8721;      ;6297-1374-1 ;290.1352344018;-16.4148312562;  0.49; 0.35;   -5.072; 3.553;   -1.510; 3.250
 61.1400;      ;6296-809-1  ;288.5834645975;-15.3562101162;  0.77; 0.59;    3.504; 4.410;   -5.175; 3.986
 61.3160;      ;6296-211-1  ;288.4527936323;-15.4338386743;  1.83; 0.70;    8.303; 3.953;   -7.724; 3.569
 61.4175;      ;6297-380-1  ;290.1543506300;-16.3407647913;  0.94; 0.30;    9.154; 2.421;   -2.358; 2.170
 61.5794;      ;6296-1398-1 ;289.5205687001;-15.3101472898;  0.00; 0.34;   -2.984; 3.679;  -10.268; 3.185
 61.6144;      ;6300-1187-1 ;288.2491831813;-16.8838996775;  1.12; 0.97;    5.411; 2.056;    0.266; 2.926
 61.6238;      ;6296-502-1  ;288.0297425598;-16.1315063345;  1.73; 0.48;   -2.129; 2.002;  -10.646; 1.262
 61.6763;      ;6296-863-1  ;289.1391266915;-15.2230593842;  2.84; 0.34;  -15.542; 2.728;  -18.585; 2.392
 61.7266;      ;6296-663-1  ;288.4744606215;-15.4101695990;  0.22; 0.29;   11.045; 3.041;    2.745; 2.748
 61.8635;      ;6300-749-1  ;288.8405011465;-17.2525209999;  5.36; 0.48;   16.982; 3.787;    0.126; 3.610
 61.9765;      ;6300-531-1  ;288.7782582314;-17.2382612083;  2.55; 0.28;   -6.719; 1.962;  -14.288; 1.845
